"","name","city","postalcode","address","url","long","lat"
"6265","CLOSERIE DE LA BARRE","LUYNES","37230",".","https://www.ticketmaster.fr/fr/salle/closerie-de-la-barre/idsite/18259",NA,NA
"6266","BOOK AND MOOVE","Ugine","73400","LES HAUTS DU CLOS","https://www.ticketmaster.fr/fr/salle/book-and-moove/idsite/18266","6.427066","45.7537"
"6267","THEATRE DE VERDURE","CASTELJALOUX","47700","-","https://www.ticketmaster.fr/fr/salle/theatre-de-verdure-casteljaloux/idsite/18250",NA,NA
"6268","EGLISE SAINT-MARTIN","Herblay Sur Seine","95220","11 Rue Jean XXIII","https://www.ticketmaster.fr/fr/salle/eglise-saint-martin-herblay/idsite/18291","2.16032","48.987858"
"6269","PEPSI ET BOITE A MUSIQUE","Issoudun","36100","RUE GEORGES BRASSENS","https://www.ticketmaster.fr/fr/salle/pepsi-et-boite-a-musique/idsite/18257","2.002985","46.949222"
"6270","MANOIR D'HERBLAY","Herblay Sur Seine","95220","12 Quai du Génie","https://www.ticketmaster.fr/fr/salle/manoir-d-herblay/idsite/18292","2.158286","48.986801"
"6271","SALLE LOUIS VICART","Wittes","62120","Rue de l'Eglise","https://www.ticketmaster.fr/fr/salle/salle-louis-vicart/idsite/18280","2.39217","50.669819"
"6272","SITE DU PATRIMOINE","St Aubin","39410","RUE DE LA GOULOTTE","https://www.ticketmaster.fr/fr/salle/site-du-patrimoine/idsite/18253","5.326699","47.030097"
"6273","JARDINS DU THEATRE DU CLOITRE","Bellac","87300","Rue Lafayette","https://www.ticketmaster.fr/fr/salle/theatre-du-cloitre-bellac/idsite/11425","1.046531","46.120508"
"6274","CROISIERE LE TIVANO","La Frette Sur Seine","95530","FACE AU 55 QUAI DE SEINE","https://www.ticketmaster.fr/fr/salle/croisiere-le-tivano-la-frette-sur-seine/idsite/18293","2.178141","48.973949"
"6275","L'USINE","Cenne Monesties","11170","RUE DU PARADIS","https://www.ticketmaster.fr/fr/salle/l-usine/idsite/18281","2.118057","43.331303"
"6276","FORT BALAGUIER","La Seyne Sur Mer","83500","924 CORNICHE BONAPARTE","https://www.ticketmaster.fr/fr/salle/fort-balaguier-la-seyne-sur-mer/idsite/18279","5.906448","43.096216"
"6277","PARC SPIROU","Monteux","84170","1 RUE JEAN-HENRI FABRE","https://www.ticketmaster.fr/fr/salle/parc-spirou/idsite/18262","4.99211","44.033148"
"6278","THEATRE DE VERDURE","Eyguieres","13430","RUE CALADE","https://www.ticketmaster.fr/fr/salle/theatre-de-verdure-eyguieres/idsite/18273","5.030178","43.695097"
