"","name","city","postalcode","address","url","long","lat"
"6234","Zeise (Kino 3)","Hamburg","22765","Friedensallee 7-9","https://www.ticketmaster.de/venue/zeise-kino-3--hamburg-tickets/hamzeiseki/701","9.92749","53.55438"
"6235","Ballroom HH @ RnR Warehouse","Hamburg","22767","Friedensallee 126A","https://www.ticketmaster.de/venue/ballroom-hh--rnr-warehouse-hamburg-tickets/hamballroo/701","9.91651","53.55762"
"6236","Evangelische Johanneskirche","Norderstedt","22844","Bahnhofstraße 77","https://www.ticketmaster.de/venue/evangelische-johanneskirche-norderstedt-tickets/ndsevangel/701","9.99165","53.73162"
"6237","Waagenbau","Hamburg","22769","Max-Brauer-Allee 204","https://www.ticketmaster.de/venue/waagenbau-hamburg-tickets/hamwaagenb/701","9.95575","53.56153"
"6238","Thalia Theater Gauss Strasse (Ga","Hamburg","22765","Gaußstraße 190","https://www.ticketmaster.de/venue/thalia-theater-gauss-strasse-ga-hamburg-tickets/hamthaligg/701","9.92553","53.55919"
"6239","Vivo","Hamburg","22765","Bahrenfelder Straße 254","https://www.ticketmaster.de/venue/vivo-hamburg-tickets/hamvivo/701","9.92887","53.55811"
"6240","Stadthalle","Wilhelmshaven","26382","Grenzstraße 24","https://www.ticketmaster.de/venue/stadthalle-wilhelmshaven-tickets/wilstadtha/701","8.11158","53.52289"
"6241","Johanneskirche","Oldenburg","26133","Pasteurstraße","https://www.ticketmaster.de/venue/johanneskirche-oldenburg-tickets/oldjohanni/701","8.21252","53.11071"
"6242","Harmonie","Oldenburg","26135","Dragoner Straße 59","https://www.ticketmaster.de/venue/harmonie-oldenburg-tickets/oldhamonie/701","8.22871","53.1323"
"6243","Oldenburgisches Staatstheater (G","Oldenburg","26122","Theaterwall 28","https://www.ticketmaster.de/venue/oldenburgisches-staatstheater-g-oldenburg-tickets/oldstaatsg/701","8.21007","53.13969"
"6244","Schlossgarten","Oldenburg","26122","Schlossgarten","https://www.ticketmaster.de/venue/schlossgarten-oldenburg-tickets/oldschlsga/701","8.20755","53.12919"
"6245","St. Lambertikirche","Oldenburg","26122","Markt 17","https://www.ticketmaster.de/venue/st-lambertikirche-oldenburg-tickets/oldstlambe/701","8.21425","53.13855"
"6246","Große Sporthalle ""Feldbreite""","Rastede","26180","Feldbreite 16","https://www.ticketmaster.de/venue/grosse-sporthalle-feldbreite-rastede-tickets/rtegrosses/701","8.19535","53.24128"
"6247","Stadtkirche St. Nicolai","Westerland","25980","Maybachstraße","https://www.ticketmaster.de/venue/stadtkirche-st-nicolai-westerland-tickets/wlastadtki/701","8.30661","54.90739"
"6248","Meerkabarett Sylt","Rantum","25980","Hafenstraße 1","https://www.ticketmaster.de/venue/meerkabarett-sylt-rantum-tickets/rsymeerkab/701","8.29967","54.85762"
"6249","St. Nicolaikirche","Wyk auf Föhr",NA,"Ocke-Nerong-Straße 27","https://www.ticketmaster.de/venue/st-nicolaikirche-wyk-auf-fohr-tickets/wykstnicol/701","8.55288","54.6963"
"6250","Marktplatz","Friedrichstadt","25840",NA,"https://www.ticketmaster.de/venue/marktplatz-friedrichstadt-tickets/fdsmarktpl/701","9.0884","54.37628"
"6251","Hafen Wyk","Wyk auf Föhr",NA,NA,"https://www.ticketmaster.de/venue/hafen-wyk-wyk-auf-fohr-tickets/wykhafen/701","8.56777","54.69183"
"6252","Historisches Packhaus (Tönning S","Tönning","25832","Am Eiderdeich 18","https://www.ticketmaster.de/venue/historisches-packhaus-tonning-s-tonning-tickets/toetoennin/701","8.93811","54.31572"
"6253","Im Schlosshof / Schloss vor Husu","Husum","25813","König-Friedrich V.-Allee","https://www.ticketmaster.de/venue/im-schlosshof-schloss-vor-husu-husum-tickets/husschlhus/701","9.0486","54.47952"
